id,author,name,serial_number
76,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,141439661
77,"Louis Sachar, Louis Sachar",Holes,439244196
78,Lauren Weisberger,The Devil Wears Prada,307275558
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,143039954
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Le Petit Prince,156012197
81,Jeannette Walls,The Glass Castle,074324754X
82,Jon Krakauer,Into the Wild,385486804
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,141439602
84,Michael Crichton,Jurassic Park,030734813X
85,Shel Silverstein,The Giving Tree,60256656
86,John Grisham,A Time to Kill,385338600
87,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,374500010
88,John Green,Paper Towns,014241493X
89,William Goldman,The Princess Bride,345418263
90,S.E. Hinton,The Outsiders,014038572X
91,James Dashner,The Maze Runner,385737947
92,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,61234001
93,Frances Hodgson Burnett,The Secret Garden,517189607
94,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad,60531045
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,375751513
96,E.L. James,Fifty Shades Freed,345803507
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,393970124
98,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden,307269981
99,E.L. James,Fifty Shades Darker,1612130585
100,Barbara Kingsolver,The Poisonwood Bible,60786507
101,David Sedaris,Me Talk Pretty One Day,349113912
102,Maurice Sendak,Where the Wild Things Are,99408392
103,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo,140449264
104,Cormac McCarthy,The Road,307265439
105,Veronica Roth,Allegiant,7524277
106,Tina Fey,Bossypants,
107,Nicholas Sparks,A Walk to Remember,446693804
108,Sophie Kinsella,Confessions of a Shopaholic,440241413
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,451525264
110,George R.R. Martin,A Clash of Kings,553381695
111,Kim Edwards,The Memory Keeper's Daughter,143037145
112,Jojo Moyes,Me Before You,670026603
113,Joseph Heller,Catch-22,684833395
114,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,751529818
115,Jeffrey Eugenides,Middlesex,312422156
116,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,143039563
117,Madeleine L'Engle,A Wrinkle in Time,440498058
118,Amy Tan,The Joy Luck Club,143038095
119,Margaret Atwood,The Handmaid's Tale,038549081X
120,Ann Brashares,The Sisterhood of the Traveling Pants,385729332
121,"Vladimir Nabokov, Craig Raine",Lolita,
122,"Gregory Maguire, Douglas Smith",Wicked: The Life and Times of the Wicked Witch of the West,60987103
123,John Grisham,The Firm,582418275
124,Emma Donoghue,Room,316098337
125,"William Shakespeare, Richard Andrews, Rex Gibson","The Tragicall Historie of Hamlet, Prince of Denmark",521618746
126,Frank Herbert,Dune,340839937
127,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,316346624
128,Walter Isaacson,Steve Jobs,1451648537
129,Ken Kesey,One Flew Over the Cuckoo's Nest,451163966
130,Ernest Hemingway,The Old Man and the Sea,684830493
131,John Steinbeck,The Grapes of Wrath,142000663
132,Mitch Albom,The Five People You Meet in Heaven,1401308589
133,L.M. Montgomery,Anne of Green Gables,451528824
134,Cassandra Clare,City of Glass,1416914307
135,George R.R. Martin,A Storm of Swords,055357342X
136,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,006075995X
137,Diana Gabaldon,Outlander,440242940
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,142437263
139,Ransom Riggs,Miss Peregrine’s Home for Peculiar Children,1594744769
140,"Stieg Larsson, Reg Keeland",Luftslottet som sprängdes,030726999X
141,Andy Weir,The Martian,804139024
142,Ken Follett,The Pillars of the Earth,451207149
143,Anthony Doerr,,1476746583
144,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",1400064163
145,Dan Brown,Deception Point,671027387
146,Donna Tartt,The Goldfinch,316055433
147,Jay Asher,Thirteen Reasons Why,1595141715
148,Tracy Chevalier,Girl with a Pearl Earring,452287022
149,Gayle Forman,If I Stay,525421033
150,Anita Diamant,The Red Tent,312353766
151,Rick Riordan,The Sea of Monsters,786856866
152,Nicholas Sparks,Dear John,446528056
153,Cassandra Clare,City of Ashes,1416914293
154,William Shakespeare,The Tragedy of Macbeth,743477103
155,J.R.R. Tolkien,The Two Towers,618346260
156,Emily Giffin,Something Borrowed,031232118X
157,"Dr. Seuss, לאה נאור",Green Eggs and Ham,394800168
158,"Roald Dahl, Quentin Blake",Charlie and the Chocolate Factory,142403881
159,Rick Riordan,The Battle of the Labyrinth,1423101464
160,Charles Dickens,Great Expectations,192833596
161,J.R.R. Tolkien,The Return of the King,345339738
162,"Albert Camus, Matthew    Ward",L’Étranger,
163,Rick Riordan,The Lost Hero,142311339X
164,Rainbow Rowell,Eleanor & Park,1250012570
165,George R.R. Martin,A Feast for Crows,055358202X
166,Ally Condie,Matched,525423648
167,Neil Gaiman,American Gods,747263744
168,"Stephen King, Bernie Wrightson",The Stand,385199570
169,Nicholas Sparks,The Last Song,446547565
170,Dan Brown,Digital Fortress,552151696
171,"Jane Austen, Fiona Stafford",Emma,141439580
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Анна Каренина,345803922
173,Anthony Burgess,A Clockwork Orange,393312836
174,William Paul Young,The Shack: Where Tragedy Confronts Eternity,964729237
175,Rick Riordan,The Last Olympian,739380338
176,Stephen King,It,451169514
177,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание,143058142
178,Sylvia Plath,The Bell Jar,61148512
179,Frank McCourt,Angela's Ashes: A Memoir,7205236
180,"Hermann Hesse, Hilda Rosner",Siddhartha,553208845
181,Truman Capote,In Cold Blood,679745580
182,"Kami Garcia, Margaret Stohl",Beautiful Creatures,316042676
183,Cassandra Clare,Clockwork Angel,1416975861
184,"Roald Dahl, Quentin Blake",Matilda,141301066
185,Erin Morgenstern,The Night Circus,385534639
186,Philippa Gregory,The Other Boleyn Girl,743227441
187,Scott Westerfeld,Uglies,689865384
188,George R.R. Martin,A Dance with Dragons,
189,J.R.R. Tolkien,The Lord of the Rings,618640150
190,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail ,307592731
191,"Alan Moore, Dave Gibbons, John Higgins",Watchmen,930289234
192,Patrick Rothfuss,The Name of the Wind,075640407X
193,Malcolm Gladwell,Outliers: The Story of Success,316017922
194,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby Dick; or, The Whale",142437247
195,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,385340990
196,Chuck Palahniuk,Fight Club,393327345
197,Charlaine Harris,Dead Until Dark,441008534
198,Alice Walker,The Color Purple,671727796
199,John Grogan,Marley & Me: Life and Love with the World's Worst Dog,739461192
200,Agatha Christie,Ten Little Niggers,312330871
201,Dan Brown,The Lost Symbol,385504225
202,Becca Fitzpatrick,"Hush, Hush",1416989412
203,Jamie McGuire,Beautiful Disaster,
204,Charles Dickens,A Christmas Carol,1561797464
205,Anne Rice,Interview with the Vampire,345476875
206,Kiera Cass,The Selection,62059939
207,Janet Evanovich,One for the Money,312362080
208,Rebecca Skloot,The Immortal Life of Henrietta Lacks,1400052173
209,Thomas Harris,The Silence of the Lambs,99446782
210,Richelle Mead,,159514174X
211,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,316010669
212,Ian McEwan,Atonement,038572179X
213,"Franz Kafka, Stanley Corngold",Die Verwandlung,553213695
214,Rick Riordan,The Titan's Curse,141382899
215,Ernest Cline,,030788743X
216,Garth Stein,The Art of Racing in the Rain,1554681723
217,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",739303406
218,Sylvia Day,Bared to You,425263908
219,"C.S. Lewis, Pauline Baynes",The Chronicles of Narnia,66238501
220,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,316043133
221,Dave Pelzer,"A Child Called ""It"": One Child's Courage to Survive",1558743669
222,Robert Ludlum,The Bourne Identity,752864327
223,Eoin Colfer,Artemis Fowl,786817879
224,Lauren Kate,Fallen,385738935
225,John Steinbeck,East of Eden  ,142000655
226,Gillian Flynn,Dark Places,307341569
227,John Grisham,The Client,385339089
228,"Emma McLaughlin, Nicola Kraus",The Nanny Diaries,312291639
229,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland,451527747
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,192802631
231,Tatiana de Rosnay,Elle s'appelait Sarah,312370830
232,Stephen King,The Gunslinger,452284694
233,"Gabriel García Márquez, Edith Grossman",El amor en los tiempos del cólera,140003468X
234,Laurie Halse Anderson,Speak,014131088X
235,Liane Moriarty,The Husband's Secret ,399159347
236,Jon Krakauer,Into Thin Air: A Personal Account of the Mt. Everest Disaster,385494785
237,Stephen King,Carrie,1416524304
238,Augusten Burroughs,Running with Scissors,031242227X
239,Max Brooks,World War Z: An Oral History of the Zombie War,307346609
240,Dan Brown,Inferno,385537859
241,Lois Lowry,Number the Stars,440227534
242,James Patterson,Along Came a Spider,446692638
243,Stephen King,Misery,450417395
244,Gillian Flynn,Sharp Objects,307341542
245,Katherine Paterson,Bridge to Terabithia,439366771
246,"P.C. Cast, Kristin Cast",Marked,312360266
247,Stephen R. Covey,The 7 Habits of Highly Effective People,743269519
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,743477545
249,Jonathan Safran Foer,Extremely Loud and Incredibly Close,618711651
250,R.J. Palacio,Wonder,375869026
251,Dr. Seuss,The Cat in the Hat,039480001X
252,Marissa Meyer,Cinder,312641893
253,"Robert Galbraith, J.K. Rowling",The Cuckoo's Calling,316206849
254,Maggie Stiefvater,Shiver,545123267
255,"Ayn Rand, Leonard Peikoff",Atlas Shrugged,452011876
256,"Greg Mortenson, David Oliver Relin",Three Cups of Tea ,143038257
257,"Jane Carruth, Lewis Carroll, Rene Cloke",,517223627
258,"Carlos Ruiz Zafón, Lucia Graves",La sombra del viento,143034901
259,James Dashner,The Scorch Trials,385738757
260,Dale Carnegie,How to Win Friends and Influence People,
261,Frances Mayes,Under the Tuscan Sun,767900383
262,Liane Moriarty,Big Little Lies,399167064
263,Gail Carson Levine,Ella Enchanted,590920685
264,Ernest Hemingway,The Sun Also Rises,743297334
265,Betty  Smith,A Tree Grows In Brooklyn ,61120073
266,James Patterson,Kiss the Girls,446677388
267,Kristin Hannah,The Nightingale,312577222
268,Kazuo Ishiguro,Never Let Me Go,1400078776
269,Cecelia Ahern,"PS, I Love You",786890754
270,"Daphne du Maurier, Sally Beauman",Rebecca,1844080382
271,Daniel Keyes,Flowers for Algernon,156030306
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Como agua para chocolate,552995878
273,Lisa See,Snow Flower and the Secret Fan,812968069
274,"Mario Puzo, Robert Thompson, Peter Bart",The Godfather,451205766
275,John Green,An Abundance of Katherines,525476881
276,Isaac Asimov,Foundation,553803719
277,Neil Gaiman,The Ocean at the End of the Lane,62255657
278,Shel Silverstein,A Light in the Attic,60513063
279,"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child, Parts One and Two",751565350
280,Lauren Oliver,Delirium,61726834
281,John Grisham,The Pelican Brief,385339704
282,Neil Gaiman,Coraline,61139378
283,"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",60853980
284,Jack Kerouac,On the Road,140042598
285,Graeme Simsion,The Rosie Project,1476729085
286,Nicholas Sparks,The Lucky One,446579939
287,"Ayn Rand, Leonard Peikoff",The Fountainhead,451191153
288,Tom Clancy,The Hunt for Red October,425172902
289,Richard Adams,Watership Down,038039586X
290,Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns),307886263
291,Abraham Verghese,Cutting for Stone,375414495
292,"C.S. Lewis, Pauline Baynes",The Voyage of the Dawn Treader,006112527X
293,Robert Louis Stevenson,Treasure Island,753453800
294,Rick Riordan,The Son of Neptune ,1423140591
295,Stephen King,11/22/63,1451627289
296,Eric Carle,The Very Hungry Caterpillar,241003008
297,Kurt Vonnegut Jr.,Cat's Cradle,140285601
298,"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine,451528557
299,"Todd Burpo, Lynn Vincent",,849946158
300,John Boyne,The Boy in the Striped Pyjamas,385751060
301,Joseph Conrad,Heart of Darkness,1892295490
302,Nicholas Sparks,Safe Haven,044654759X
303,Rhonda Byrne,The Secret,1582701709
304,Wally Lamb,I Know This Much Is True ,60987561
305,Stephen King,Pet Sematary,1416524347
306,Wally Lamb,She's Come Undone,671021001
307,Patrick Rothfuss,The Wise Man's Fear,756404738
308,Sophie Kinsella,Can You Keep a Secret?,440241901
309,Cassandra Clare,City of Fallen Angels,1442403543
310,Jennifer Weiner,Good in Bed,743418174
311,Colleen McCullough,The Thorn Birds,380018179
312,"Neil Gaiman, Dave McKean",The Graveyard Book,60530928
313,M.L. Stedman,The Light Between Oceans,1451681739
314,"Cornelia Funke, Anthea Bell",Tintenherz,439709105
315,"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?,91883768
316,Bill Bryson,A Walk in the Woods,307279464
317,Maya Angelou,I Know Why the Caged Bird Sings,553279378
318,Christina Baker Kline,Orphan Train,61950726
319,Cassandra Clare,City of Lost Souls,1442416866
320,Maria Semple,"Where'd You Go, Bernadette",316204277
321,Wilson Rawls,Where the Red Fern Grows,375806814
322,Neil Gaiman,Neverwhere,60557818
323,"Milan Kundera, Michael Henry Heim",Nesnesitelná lehkost bytí,571224385
324,Rainbow Rowell,,
325,John Irving,A Prayer for Owen Meany,552135399
326,Janet Fitch,White Oleander,316182540
327,Marie Lu,Legend,039925675X
328,Jodi Picoult,Nineteen Minutes,743496728
329,"Randy Pausch, Jeffrey Zaslow",The Last Lecture,1401323251
330,Robert Jordan,The Eye of the World,812511816
331,Jodi Picoult,The Pact,61150142
332,C.S. Lewis,The magician's nephew,60764902
333,Lisa Genova,Still Alice,595440096
334,Sylvia Day,Reflected in You,425263916
335,"Roald Dahl, Quentin Blake",James and the Giant Peach,375814248
336,James Patterson,1st To Die,446696617
337,Douglas Adams,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,345453743
338,David Nicholls,One Day,340896965
339,"Margaret Wise Brown, Clement Hurd",,60775858
340,Pittacus Lore,I Am Number Four,61969559
341,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",Ἰλιάς,140275363
342,J.K. Rowling,The Casual Vacancy,316228532
343,John Grisham,The Runaway Jury,385339690
344,David Sedaris,Naked,316777730
345,Christopher Paolini,Eldest,375840400
346,"L. Frank Baum, W.W. Denslow",The Wonderful Wizard of Oz,140621679
347,C.S. Lewis,Prince Caspian: The Return to Narnia,000720230X
348,E. Lockhart,We Were Liars,
349,Stephen King,Salem's Lot,450031063
350,"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,679785892
351,Cassandra Clare,Clockwork Prince,1416975888
352,Amy Poehler,Yes Please,62268341
353,William Shakespeare,"The Tragedy of Othello, The Moor of Venice",743477553
354,Toni Morrison,Beloved,1400033411
355,Kristin Cashore,Graceling,015206396X
356,"Lemony Snicket, Brett Helquist",The Bad Beginning,439206472
357,"Erich Maria Remarque, A.W. Wheen",Im Westen nichts Neues,449213943
358,Dr. Seuss,"Oh, the Places You'll Go!",679805273
359,Khaled Hosseini,And The Mountains Echoed,159463176X
360,"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?,345404475
361,"Charles Dickens, George Cruikshank, Philip Horne",Oliver Twist,141439742
362,C.S. Lewis,A Grief Observed,60652896
363,Stephanie Perkins,Anna and the French Kiss,525423273
364,Dr. Seuss,How the Grinch Stole Christmas!,7173040
365,"Alan Moore, David   Lloyd",V for Vendetta,1401207928
366,David McCullough,John Adams,743223136
367,Dean Koontz,Odd Thomas,553384287
368,Philip Pullman,The Subtle Knife,679879250
369,Jerry Spinelli,Stargirl,439488400
370,Rick Riordan,The Red Pyramid,1423113381
371,Robert A. Heinlein,Stranger in a Strange Land,441788386
372,David Sedaris,Dress Your Family in Corduroy and Denim,965904830
373,"Roald Dahl, Quentin Blake",The BFG,141311371
374,Bill Bryson,A Short History of Nearly Everything,076790818X
375,Jack London,The Call of the Wild,439227143
376,James Dashner,The Death Cure,385738773
377,Neil Gaiman,Stardust,61142026
378,Jhumpa Lahiri,The Namesake,618485228
379,Deborah Harkness,A Discovery of Witches,670022411
380,"Haruki Murakami, Jay Rubin",ノルウェイの森 [Noruwei no Mori],375704027
381,Billie Letts,Where the Heart Is,446672211
382,"John Green, David Levithan","Will Grayson, Will Grayson",525421580
383,James Frey,A Million Little Pieces,307276902
384,Richelle Mead,Frostbite,1595141758
385,Susan Cain,Quiet: The Power of Introverts in a World that Can't Stop Talking,307352145
386,Scott O'Dell,Island of the Blue Dolphins,440439884
387,"Arthur Miller, Christopher Bigsby",The Crucible,142437336
388,Gary Paulsen,Hatchet,689840926
389,Brandon Sanderson,Mistborn : The Final Empire,076531178X
390,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",The Strange Case of Dr Jekyll and Mr Hyde,451528956
391,Dr. Seuss,The Lorax,679889108
392,Jeff Kinney,Greg Heffley's Journal,810993139
393,Sarah J. Maas,Throne of Glass,1599906953
394,Richelle Mead,Shadow Kiss,1595141979
395,Ernest Hemingway,For Whom the Bell Tolls,684803356
396,Jamie Ford,Hotel on the Corner of Bitter and Sweet,345505336
397,"Patrick Süskind, John E. Woods",Das Parfum. Die Geschichte eines Mörders,140120831
398,Eric Schlosser,Fast Food Nation : The Dark Side of the All-American Meal ,60838582
399,J.K. Rowling,The Tales of Beedle the Bard,747599874
400,William Gibson,Neuromancer,441569595
401,Ernest Hemingway,A Farewell to Arms,99910101
402,Edgar Allan Poe,The Tell-Tale Heart,553212281
403,"Sun Tzu, Thomas Cleary",孫子兵法 [Sūnzi bīngfǎ],1590302257
404,William Landay,Defending Jacob,385344228
405,Kurt Vonnegut Jr.,Breakfast of Champions,385334206
406,Betty Edwards,Drawing on the Right Side of the Brain,874774241
407,Ann Patchett,Bel Canto,60838728
408,Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies",739467352
409,Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe,375508414
410,Chinua Achebe,Things Fall Apart,385474547
411,Sophie Kinsella,The Undomestic Goddess,385338694
412,Gary Chapman,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,1881273156
413,Alexandre Dumas,Les Trois Mousquetaires,
414,Chris Cleave,The Other Hand,1416589643
415,Alyson Noel,Evermore,031253275X
416,"Roald Dahl, Quentin Blake",The Witches,590032496
417,Diane Setterfield,The Thirteenth Tale,743298020
418,Richelle Mead,Spirit Bound,1595142509
419,Richelle Mead,Blood Promise,1595141987
420,Nicholas Sparks,Message in a Bottle,446676071
421,Paula McLain,The Paris Wife,345521307
422,J.K. Rowling,Complete Harry Potter Boxed Set,545044251
423,Kiera Cass,The Elite,62059963
424,"Umberto Eco, William Weaver, Seán Barrett",Il nome della rosa,156001314
425,"Beatrice Sparks, Anonymous",Go Ask Alice,1416914633
426,"John Kennedy Toole, Walker Percy",A Confederacy of Dunces,802130208
427,Oscar Wilde,The Importance of Being Earnest,158049580X
428,Rick Riordan,The Mark of Athena,1423140605
429,Terry Pratchett,The Colour of Magic,60855924
430,"Haruki Murakami, Philip Gabriel",海辺のカフカ [Umibe no Kafuka],1400079276
431,Thomas Harris,Red Dragon,525945563
432,Isaac Asimov,"I, Robot",553803700
433,J.R. Ward,Dark Lover,451216954
434,Becca Fitzpatrick,Crescendo,1416989439
435,Lauren Oliver,Before I Fall,61726818
436,Arundhati Roy,The God of Small Things,679457313
437,Sue Monk Kidd,The Invention of Wings,670024783
438,Liane Moriarty,What Alice Forgot,141043768
439,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",A Brief History of Time: From the Big Bang to Black Holes,553380168
440,Ken Follett,Fall of Giants,525951652
441,Stephen King,Under the Dome,1439148503
442,Neal Stephenson,Snow Crash,553380958
443,Sarah Dessen,Just Listen,670061050
444,"A.A. Milne, Ernest H. Shepard",Winnie-the-Pooh,525467564
445,S.J. Watson,Before I Go to Sleep,62060554
446,Arthur Conan Doyle,A Study in Scarlet,1420925539
447,Christopher Paolini,Brisingr,375826726
448,Rick Warren,The Purpose Driven Life: What on Earth am I Here For?,310276993
449,"P.C. Cast, Kristin Cast",Betrayed: a House of Night Novel,312360282
450,Jim Butcher,Storm Front,451457811
451,"Jane Austen, Alfred MacAdam",Northanger Abbey,1593082649
452,Rick Yancey,The 5th Wave,399162410
453,Charles Frazier,Cold Mountain,802142842
454,"Laura Joffe Numeroff, Felicia Bond",If You Give a Mouse a Cookie,60245867
455,Emily Giffin,Something Blue,312323867
456,Tennessee Williams,A Streetcar Named Desire,822210894
457,Elizabeth Kostova,The Historian,751537284
458,Emily St. John Mandel,Station Eleven,385353308
459,"Fredrik Backman, Henning Koch",En man som heter Ove,1476738017
460,Cassandra Clare,Clockwork Princess,1406321346
461,Pearl S. Buck,The Good Earth,1416500189
462,John Berger,Ways of Seeing,140135154
463,Diana Gabaldon,Dragonfly in Amber,385335970
464,Anonymous,,
465,Jennifer Weiner,In Her Shoes,743495667
466,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",The Hobbit,345368584
467,Junot Díaz,The Brief Wondrous Life of Oscar Wao,1594489580
468,Zora Neale Hurston,Their Eyes Were Watching God,61120065
469,"Newt Scamander, J.K. Rowling, Albus Dumbledore",Fantastic Beasts and Where to Find Them,439321603
470,"Malala Yousafzai, Christina Lamb",I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,316322407
471,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",Mansfield Park,141439807
472,Viktor E. Frankl,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,080701429X
473,Tana French,In the Woods,670038601
474,Richard Dawkins,The God Delusion,618680004
475,Gayle Forman,Where She Went,525422943
476,John Irving,The World According to Garp,345915593
477,Lee Child,Killing Floor,515141429
478,"Daniel Defoe, Gerald McCann, Virginia Woolf","The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",375757325
479,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",Il Principe,937832383
480,Philip Pullman,The Amber Spyglass,440238153
481,Terry Goodkind,Wizard's First Rule,765346524
482,Kathleen Grissom,The Kitchen House,1439153663
483,J.D. Salinger,Franny and Zooey,316769029
484,Chuck Palahniuk,Choke,385720920
485,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",Братья Карамазовы,374528373
486,Jeanne DuPrau,The City of Ember,375822747
487,Michael Crichton,The Andromeda Strain,60541814
488,Stephen King,The Green Mile,451933028
489,Kahlil Gibran,The Prophet,000100039X
